Код ЕИ;Наименование;Краткое;Характеристика
081;Квадратный метр общей площади;М2 ОБЩ ПЛ;Площадь
087;Квадратный метр учебно-лабораторных зданий;М2 УЧ.ЛАБ ЗДАН;Площадь
050;Квадратный миллиметр;ММ2;Площадь
051;Квадратный сантиметр;СМ2;Площадь
073;Квадратный фут (0;092903 кв.м);ФУТ2;Площадь
073;Квадратный фут (0;092903 м²);ФУТ²;Площадь
075;Квадратный ярд (0;8361274 кв.м);ЯРД2;Площадь
075;Квадратный ярд (0;8361274 м²);ЯРД²;Площадь
388;Квадрильон рублей;КВАДР РУБ;Количество
364;Квартал;КВАРТ;Время
909;Квартира;КВАРТ;Количество
802;Квинтильон штук (Европа) 1018;КВИНТ ШТ;Количество
288;Кельвин;К;Температура
256;Килобайт;КБАЙТ;Информация
2561;Килобайт в секунду;КБАЙТ/С;Скорость передачи данных
312;Килобар;КБАР;Давление
2543;Килобит в секунду;КБИТ/С;Скорость передачи данных
230;Киловар;КВАР;Мощность
214;Киловатт;КВТ;Мощность
245;Киловатт-час;КВТ.Ч;Энергия
223;Киловольт;КВ;Электрическое напряжение
227;Киловольт-ампер;КВ.А;Мощность
248;Киловольт-ампер реактивный;КВ.А Р;Мощность
291;Килогерц;КГЦ;Частота
166;Килограмм;КГ;Масса
845;Килограмм 90 %-го сухого вещества;КГ 90 ПРОЦ СУХ ВЕЩ;Масса
861;Килограмм азота;КГ АЗОТ;Масса
499;Килограмм в секунду;КГ/С;Скорость
859;Килограмм гидроксида калия;КГ ГИДРОКСИД КАЛИЯ;Масса
863;Килограмм гидроксида натрия;КГ ГИДРОКСИД НАТРИЯ;Масса
511;Килограмм на гигакалорию;КГ/ГИГАКАЛ;Энергия
317;Килограмм на квадратный сантиметр;КГ/СМ2;Давление
316;Килограмм на кубический метр;КГ/МЗ;Плотность
852;Килограмм оксида калия;КГ ОКСИД КАЛИЯ;Масса
841;Килограмм пероксида водорода;КГ ПЕРОКСИД ВОДОРОДА;Масса
865;Килограмм пятиокиси фосфора;КГ ПЯТИОКИСЬ ФОСФОРА;Масса
867;Килограмм урана;КГ УРАН;Масса
273;Килоджоуль;КДЖ;Энергия
232;Килокалория;ККАЛ;Энергия
237;Килокалория в час;ККАЛ/Ч;Мощность
008;Километр;КМ;Длина
333;Километр в час;КМ/Ч;Скорость
049;Километр условных труб;КМ УСЛ ТРУБ;Длина
297;Килопаскаль;КПА;Давление
170;Килотонна;KT;Масса
911;Койка;КОЕК;Количество
839;Комплект;КОМПЛ;Количество
971;Кормо-день;КОРМ. ДН;Время
820;Крепость спирта по массе;КРЕП СПИРТ ПО МАСС;Концентрация
821;Крепость спирта по объему;КРЕП СПИРТ ПО ОБЪЕМ;Концентрация
131;Кубический дюйм (16387;1 куб.мм);ДЮЙМ3;Объем
113;Кубический метр;М3;Объем
596;Кубический метр в секунду;М3/C;Скорость
598;Кубический метр в час;М3/Ч;Скорость
110;Кубический миллиметр;ММ3;Объем
111;Кубический сантиметр; Миллилитр;СМ³; МЛ;Объем
132;Кубический фут (0;02831685 куб.м);ФУТ3;Объем
133;Кубический ярд (0;764555 куб.м);ЯРД3;Объем
748;Купон;КУПОН;Количество
252;Ладонь (0;007 м²);ЛАД;Площадь
085;Ларж;ЛАРЖ;Количество
016;Литр;Л;Объем
222;Литр пропиленгликоля;Л ППГ;Объем
029;Литр воды;Л ВОДА;Объем
721;Литровая бутылка;Л БУТ;Объем
017;Линия;ЛИН;Количество
014;Лошадиная сила;Л.С.;Мощность
079;Мега;МЕГА;Количество
361;Мегабайт;МБАЙТ;Информация
266;Мегабит;МБИТ;Информация
2881;Мегабит в секунду;МБИТ/С;Скорость передачи данных
2563;Мегаватт;МГТ;Мощность
208;Мегаватт-час;МГТ.Ч;Энергия
191;Мегаватт-час;МГТ.Ч;Энергия
192;Миллиард штук;МИЛЛИАРД ШТ;Количество
299;Миллион;МЛН;Количество
048;Миллион штук;МИЛЛИОН ШТ;Количество
027;Миллион тонн;МИЛЛИОН Т;Масса
058;Миллиметр;ММ;Длина
062;Миллиметр ртутного столба;ММ.РТ;Давление
100;Миллилитр;МЛ;Объем
058;Миллион тонн;МИЛЛИОН Т;Масса
300;Милиампер;МA;Электрический ток
230;Микрограмм;МКГ;Масса
232;Микролитр;МКЛ;Объем
072;Микроватт;МКТ;Мощность
270;Микросекунда;МКС;Время
063;Микрооль;МК;Сопротивление
290;Микросименс;МКС;Проводимость
065;Миливольт;МВ;Электрическое напряжение
066;Миливатт;МВт;Мощность
982;Милиграмм на кубический сантиметр;МГ/СМ3;Плотность
091;Нанограмм;НГ;Масса
215;Нанотонна;НТ;Масса
146;Нанометр;НМ;Длина
192;Нанофарад;НФ;Емкость
205;Нанопар;НАНОПАР;Количество
006;Объединенный метр;ОМ;Длина
602;Окно;ОКНО;Количество
148;Одна четвёртая;1/4;Количество
149;Одна вторая;1/2;Количество
071;Один;ОДИН;Количество
1000;Ограниченный метр;ОГР. М;Длина
199;Ограниченный дюйм;ОГР. ДЮЙМ;Длина
127;Ограниченный километр;ОГР. КМ;Длина
125;Ограниченный сантиметр;ОГР. СМ;Длина
126;Ограниченный милламетр;ОГР. ММ;Длина
132;Одиннадцать;11;Количество
134;Одиннадцать штук;11 ШТ;Количество
017;Ограниченная величина;ОГР. В;Количество
017;Ограниченная величина;ОГР. В;Количество
335;Метр на секунду в квадрате;М/С2;Ускорение
162;Метрический карат (1 карат=200 мг=2х10_4 кг);КАР;Масса
352;Микросекунда;МКС;Время
9062;Миллиард гектаров;МЛРД ГА;Площадь
249;Миллиард киловатт-часов;МЛРД КВТ.Ч;Энергия
115;Миллиард кубических метров;МЛРД М3;Объем
386;Миллиард рублей;МЛРД РУБ;Деньги
800;Миллиард штук;МЛРД ШТ;Количество
308;Миллибар;МБАР;Давление
161;Миллиграмм;МГ;Масса
304;Милликюри;МКИ;Активность
003;Миллиметр;ММ;Длина
337;Миллиметр водяного столба;ММ ВОД СТ;Давление
338;Миллиметр ртутного столба;ММ РТ СТ;Давление
241;Миллион ампер-часов;МЛН А.Ч;Энергия
9061;Миллион гектаров;МЛН ГА;Площадь
235;Миллион гигакалорий;МЛН ГИГАКАЛ;Энергия
9557;Миллион голов;МЛН ГОЛ;Количество
557;Миллион голов в год;МЛН ГОЛ/ГОД;Количество
120;Миллион декалитров;МЛН ДКЛ;Объем
937;Миллион доз;МЛН ДОЗ;Количество
9802;Миллион долларов;МЛН ДОЛЛАР;Деньги
901;Миллион домохозяйств;МЛН ДОМХОЗ;Количество
644;Миллион единиц;МЛН ЕД;Количество
544;Миллион единиц в год;МЛН ЕД/ГОД;Количество
167;Миллион каратов метрических;МЛН КАР;Масса
056;Миллион квадратных дециметров;МЛН ДМ2;Площадь
057;Миллион квадратных метров;МЛН М2;Площадь
089;Миллион квадратных метров в двухмиллиметровом исчислении;МЛН;Площадь
086;Миллион квадратных метров жилой площади;МЛН М2 ЖИЛ ПЛ;Площадь
083;Миллион квадратных метров общей площади;МЛН М2. ОБЩ ПЛ;Площадь
242;Миллион киловольт-ампер;МЛН КВ.А;Мощность
987;Миллион краско-оттисков;МЛН КРАСК ОТТИСК;Количество
159;Миллион кубических метров;МЛН МЗ;Объем
125;Миллион кубических метров переработки газа;МЛН МЗ ПЕРЕРАБ ГАЗА;Объем
949;Миллион листов-оттисков;МЛН ЛИСТ.ОТТИСК;Количество
253;Миллион лошадиных сил;МЛН ЛС;Мощность
838;Миллион пар;МЛН ПАР;Количество
424;Миллион пассажиро-километров;МЛН ПАСС.КМ;Расстояние
970;Миллион пассажиро-место-миль;МЛН ПАСС. МЕСТ. МИЛЬ;Расстояние
968;Миллион пассажиро-миль;МЛН ПАСС. МИЛЬ;Расстояние
129;Миллион полулитров;МЛН ПОЛ Л;Объем
385;Миллион рублей;МЛН РУБ;Деньги
898;Миллион семей;МЛН СЕМЕЙ;Количество
171;Миллион тонн;МЛН Т;Масса
550;Миллион тонн в год;МЛН Т/ГОД;Масса
982;Миллион тонн кормовых единиц;МЛН Т КОРМ ЕД;Количество
176;Миллион тонн условного топлива;МЛН Т УСЛ ТОПЛ;Масса
969;Миллион тоннаже-миль;МЛН ТОННАЖ. МИЛЬ;Расстояние
451;Миллион тонно-километров;МЛН Т.КМ;Расстояние
967;Миллион тонно-миль;МЛН Т. МИЛЬ;Расстояние
779;Миллион упаковок;МЛН УПАК;Количество
883;Миллион условных банок;МЛН УСЛ БАНК;Количество
878;Миллион условных единиц;МЛН УСЛ ЕД;Количество
064;Миллион условных квадратных метров;МЛН УСЛ М2;Площадь
895;Миллион условных кирпичей;МЛН УСЛ КИРП;Количество
886;Миллион условных кусков;МЛН УСЛ КУС;Количество
988;Миллион условных плиток;МЛН УСЛ ПЛИТ;Количество
794;Миллион человек;МЛН ЧЕЛ;Количество
799;Миллион штук;МЛН ШТ;Количество
808;Миллион экземпляров;МЛН ЭКЗ;Количество
353;Миллисекунда;МЛС;Время
560;Минимальная заработная плата;МИН ЗАРАБОТН ПЛАТ;Деньги
355;Минута;МИН;Время
047;Морская миля (1852 м);МИЛЬ;Длина
704;Набор;НАБОР;Количество
360;Неделя;НЕД;Время
908;Номер;НОМ;Идентификатор
289;Ньютон;Н;Сила
331;Оборот в минуту;ОБ/МИН;Частота
330;Оборот в секунду;ОБ/С;Частота
274;Ом;ОМ;Сопротивление
715;Пара (2 шт.);ПАР;Количество
547;Пара в смену;ПАР/СМЕН;Количество
294;Паскаль;ПА;Давление
414;Пассажиро-километр;ПАСС.КМ;Расстояние
991;Пассажиро-миля;ПАСС МИЛЯ;Расстояние
990;Пассажиров в час;ПАСС/Ч;Частота
427;Пассажиропоток;ПАСС. ПОТОК;Поток
421;Пассажирское место (пассажирских мест);ПАСС МЕСТ;Количество
999;Плотность вещества;Г/СМ3;Плотность
121;Плотный кубический метр;ПЛОТН МЗ;Объем
018;Погонный метр;ПОГ М;Длина
365;Полугодие;ПОЛГОД;Время
906;Посадочное место;ПОСАД МЕСТ;Количество
545;Посещение в смену;ПОСЕЩ/СМЕН;Количество
734;Посылка;ПОСЫЛ;Количество
963;Приведенный час;ПРИВЕД. Ч;Время
746;Промилле (О;1 процента);ПРОМИЛЛЕ;Концентрация
744;Процент;ПРОЦ;Часть
904;Рабочее место;РАБ МЕСТ;Количество
383;Рубль;РУБ;Деньги
736;Рулон;РУЛ;Количество
964;Самолето-километр;САМОЛЕТ. КМ;Расстояние
173;Сантиграмм;СГ;Масса
004;Сантиметр;СМ;Длина
339;Сантиметр водяного столба;СМ ВОД СТ;Давление
354;Секунда;C;Время
840;Секция;СЕКЦ;Количество
896;Семья;СЕМЕЙ;Количество
924;Символ;СИМВОЛ;Количество
296;Сименс;СИ;Сопротивление
923;Слово;СЛОВО;Количество
917;Смена;СМЕН;Количество
762;Станция;СТАНЦ;Количество
626;Сто листов;100 ЛИСТ;Количество
781;Сто упаковок;100 УПАК;Количество
797;Сто штук;100 ШТ;Количество
683;Сто ящиков;100 ЯЩ;Количество
975;Суго-сутки;СУГО.СУТ;Время
983;Судо-сутки;СУД.СУТ;Время
359;Сутки сут;СУТ; ДН;Время
313;Тесла;ТЛ;Магнитное поле
301;Техническая атмосфера (98066;5 Па);АТТ;Давление
913;Том книжного фонда;ТОМ КНИЖН ФОНД;Количество
847;Тонна 90 %-го сухого вещества;Т 90 ПРОЦ СУХ ВЕЩ;Масса
536;Тонна в смену;Т/СМЕН;Масса
535;Тонна в сутки;Т/СУТ;Масса
534;Тонна в час;Т/Ч;Масса
533;Тонна пара в час;Т ПAР/Ч;Масса
552;Тонна переработки в сутки;Т ПЕРЕРАБ/СУТ;Масса
514;Тонна тяги;Т.ТЯГИ;Сила
172;Тонна условного топлива;Т УСЛ ТОПЛ;Масса
168;Тонна; метрическая тонна (1000 кг);T;Масса
449;Тонно-километр;Т.КМ;Расстояние
512;Тонно-номер;Т.НОМ;Количество
516;Тонно-танид;Т.ТАНИД;Масса
387;Триллион рублей;ТРИЛЛ РУБ;Деньги
973;Тысяча автомобиле-километров;ТЫС АВТОМОБ.КМ;Расстояние
962;Тысяча автомобиле-место-дней;ТЫС АВТОМОБ. МЕСТ. ДН;Время
960;Тысяча автомобиле-тонно-дней;ТЫС АВТОМОБ. Т. ДН;Время
961;Тысяча автомобиле-часов;ТЫС АВТОМОБ. Ч;Время
264;Тысяча ампер-часов;ТЫС А.Ч;Энергия
871;Тысяча ампул;ТЫС АМПУЛ;Количество
869;Тысяча бутылок;ТЫС БУТ;Количество
952;Тысяча вагоно (машино)-километров;ТЫС ВАГ(МАШ). КМ;Объем
951;Тысяча вагоно (машино)-часов;ТЫС ВАГ(МАШ).Ч;Время
060;Тысяча гектаров;ТЫС ГА;Площадь
724;Тысяча гектаров порций;ТЫС ГА ПОРЦ;Количество
234;Тысяча гигакалорий;ТЫС ГИГАКАЛ;Энергия
239;Тысяча гигакалорий в час;ТЫС ГИГАКАЛ/Ч;Мощность
985;Тысяча голов;ТЫС ГОЛ;Количество
556;Тысяча голов в год;ТЫС ГОЛ/ГОД;Количество
119;Тысяча декалитров;ТЫС ДКЛ;Объем
640;Тысяча доз;ТЫС ДОЗ;Количество
980;Тысяча долларов;ТЫС ДОЛЛАР;Деньги
900;Тысяча домохозяйств;ТЫС ДОМХОЗ;Количество
643;Тысяча единиц;ТЫС ЕД;Количество
165;Тысяча каратов метрических;ТЫС КАР;Масса
054;Тысяча квадратных дециметров;ТЫС ДМ2;Площадь
058;Тысяча квадратных метров;ТЫС М2;Площадь
085;Тысяча квадратных метров жилой площади;ТЫС М2 ЖИЛ ПЛ;Площадь
082;Тысяча квадратных метров общей площади;ТЫС М2 ОБЩ ПЛ;Площадь
088;Тысяча квадратных метров учебно-лабораторных зданий;ТЫС М2 УЧ. ЛАБ ЗДАН;Площадь
910;Тысяча квартир;ТЫС КВАРТ;Количество
250;Тысяча киловольт-ампер реактивных;ТЫС.КВ.А Р;Мощность
965;Тысяча километров;ТЫС КМ;Расстояние
912;Тысяча коек;ТЫС КОЕК;Количество
673;Тысяча комплектов;ТЫС КОМПЛ;Количество
875;Тысяча коробок;ТЫС КОР;Количество
986;Тысяча краско-оттисков;ТЫС КРАСК ОТТИСК;Количество
114;Тысяча кубических метров;ТЫС МЗ;Объем
599;Тысяча кубических метров в сутки;ТЫС М3/СУТ;Объем
559;Тысяча кур-несушек;ТЫС КУР. НЕСУШ;Количество
130;Тысяча литров;ТЫС Л;Объем
252;Тысяча лошадиных сил;ТЫС ЛС;Мощность
699;Тысяча мест;ТЫС МЕСТ;Количество
953;Тысяча место-километров;ТЫС МЕСТ.КМ;Объем
479;Тысяча наборов;ТЫС НАБОР;Количество
709;Тысяча номеров;ТЫС НОМ;Количество
837;Тысяча пар;ТЫС ПАР;Количество
548;Тысяча пар в смену;ТЫС ПАР/СМЕН;Количество
423;Тысяча пассажиро-километров;ТЫС ПАСС.КМ;Объем
958;Тысяча пассажиро-миль;ТЫС ПАСС. МИЛЬ;Объем
729;Тысяча пачек;ТЫС ПАЧ;Количество
930;Тысяча пластин;ТЫС ПЛАСТ;Количество
127;Тысяча плотных кубических метров;ТЫС ПЛОТН МЗ;Объем
019;Тысяча погонных метров;ТЫС ПОГ М;Длина
956;Тысяча поездо-километров;ТЫС ПОЕЗД. КМ;Объем
955;Тысяча поездо-часов;ТЫС. ПОЕЗД. Ч;Время
128;Тысяча полулитров;ТЫС ПОЛ Л;Объем
907;Тысяча посадочных мест;ТЫС ПОСАД МЕСТ;Количество
546;Тысяча посещений в смену;ТЫС ПОСЕЩ/СМЕН;Количество
562;Тысяча прядильных веретен;ТЫС ПРЯД ВЕРЕТ;Количество
563;Тысяча прядильных мест;ТЫС ПРЯД МЕСТ;Количество
558;Тысяча птицемест;ТЫС ПТИЦЕМЕСТ;Количество
905;Тысяча рабочих мест;ТЫС РАБ МЕСТ;Количество
384;Тысяча рублей;ТЫС РУБ;Деньги
751;Тысяча рулонов;ТЫС РУЛ;Количество
897;Тысяча семей;ТЫС СЕМЕЙ;Количество
630;Тысяча стандартных условных кирпичей;ТЫС СТАНД УСЛ КИРП;Количество
761;Тысяча станов;ТЫС СТАН;Количество
914;Тысяча томов книжного фонда;ТЫС ТОМ КНИЖН ФОНД;Количество
169;Тысяча тонн;ТЫС Т;Масса
538;Тысяча тонн в год;ТЫС Т/ГОД;Масса
537;Тысяча тонн в сезон;ТЫС Т/СЕЗ;Масса
177;Тысяча тонн единовременного хранения;ТЫС Т ЕДИНОВР ХРАН;Масса
981;Тысяча тонн кормовых единиц;ТЫС Т КОРМ ЕД;Масса
561;Тысяча тонн пара в час;ТЫС Т ПАР/Ч;Масса
178;Тысяча тонн переработки;ТЫС Т ПЕРЕРАБ;Масса
553;Тысяча тонн переработки в сутки;ТЫС Т ПЕРЕРАБ/СУТ;Масса
175;Тысяча тонн условного топлива;ТЫС Т УСЛ ТОПЛ;Масса
966;Тысяча тоннаже-рейсов;ТЫС ТОННАЖ. РЕЙС;Объем
974;Тысяча тоннаже-сут;ТЫС ТОННАЖ.СУТ;Объем
450;Тысяча тонно-километров;ТЫС Т.КМ;Объем
957;Тысяча тонно-миль;ТЫС Т. МИЛЬ;Объем
874;Тысяча тубов;ТЫС ТУБ;Количество
775;Тысяча тюбиков;ТЫС ТЮБИК;Количество
782;Тысяча упаковок;ТЫС УПАК;Количество
882;Тысяча условных банок;ТЫС УСЛ БАНК;Количество
543;Тысяча условных банок в смену;ТЫС УСЛ БАНК/СМЕН;Количество
877;Тысяча условных единиц;ТЫС УСЛ ЕД;Количество
890;Тысяча условных катушек;ТЫС УСЛ КАТ;Количество
063;Тысяча условных квадратных метров;ТЫС УСЛ М2;Площадь
894;Тысяча условных кирпичей;ТЫС УСЛ КИРП;Количество
124;Тысяча условных кубических метров;ТЫС УСЛ МЗ;Объем
885;Тысяча условных кусков;ТЫС УСЛ КУС;Количество
048;Тысяча условных метров;ТЫС УСЛ М;Длина
892;Тысяча условных плиток;ТЫС УСЛ ПЛИТ;Количество
776;Тысяча условных тубов;ТЫС УСЛ ТУБ;Количество
880;Тысяча условных штук;ТЫС УСЛ ШТ;Количество
888;Тысяча условных ящиков;ТЫС УСЛ ЯЩ;Количество
903;Тысяча ученических мест;ТЫС УЧЕН МЕСТ;Количество
873;Тысяча флаконов;ТЫС ФЛАК;Количество
207;Тысяча центнеров;ТЫС Ц;Масса
555;Тысяча центнеров переработки в сутки;ТЫС Ц ПЕРЕРАБ/СУТ;Масса
793;Тысяча человек;ТЫС ЧЕЛ;Количество
541;Тысяча человеко-дней;ТЫС;Количество
Код ЕИ;Наименование;Краткое;Характеристика
798;Тысяча штук;ТЫС ШТ;Количество
979;Тысяча экземпляров;ТЫС ЭКЗ;Количество
327;Узел (миля/ч);УЗ;Скорость
778;Упаковка;УПАК;Количество
881;Условная банка;УСЛ БАНК;Количество
876;Условная единица;УСЛ ЕД;Количество
889;Условная катушка;УСЛ КАТ;Количество
891;Условная плитка;УСЛ ПЛИТ;Количество
179;Условная тонна;УСЛ Т;Масса
925;Условная труба;УСЛ ТРУБ;Количество
879;Условная штука;УСЛ ШТ;Количество
062;Условный квадратный метр;УСЛ М2;Площадь
893;Условный кирпич;УСЛ КИРП;Количество
123;Условный кубический метр;УСЛ М3;Объем
884;Условный кусок;УСЛ КУС;Количество
020;Условный метр;УСЛ М;Длина
915;Условный ремонт;УСЛ РЕМ;Количество
916;Условный ремонт в год;УСЛ РЕМ/ГОД;Количество
887;Условный ящик;УСЛ ЯЩ;Количество
902;Ученическое место;УЧЕН МЕСТ;Количество
314;Фарад;Ф;Электроемкость
300;Физическая атмосфера (101325 Па);АТМ;Давление
872;Флакон;ФЛАК;Количество
041;Фут (0;3048 м);ФУТ;Длина
206;Центнер (метрический) (100 кг);Ц;Масса
972;Центнер кормовых единиц;Ц КОРМ ЕД;Масса
554;Центнер переработки в сутки;Ц ПЕРЕРАБ/СУТ;Масса
984;Центнеров с гектара;Ц/ГА;Масса
356;Час;Ч;Время
735;Часть;ЧАСТЬ;Количество
792;Человек;ЧЕЛ;Количество
989;Человек в час;ЧЕЛ/Ч;Количество
522;Человек на квадратный километр;ЧЕЛ/КМ2;Плотность
521;Человек на квадратный метр;ЧЕЛ/М2;Плотность
540;Человеко-день;ЧЕЛ.ДН;Количество
539;Человеко-час;ЧЕЛ.Ч;Количество
976;Штук в 20-футовом эквиваленте (ДФЭ);ШТ В 20 ФУТ ЭКВИВ;Количество
796;Штука;ШТ;Количество
745;Элемент;ЭЛЕМ;Количество
2581;Эрланг;ЭРЛАНГ;Количество
043;Ярд (0;9144 м);ЯРД;Длина
810;Ячейка;ЯЧ;Количество
812;Ящик;ЯЩ;Количество

